id,neighbourhood_cleansed,latitude,longitude,room_type,bedrooms,beds,price,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
56766,5e Arrondissement,45.76312,4.82813,Entire home/apt,3.0,4.0,$190.00,t,0,30,60,109,2021-09-15,1,1,0,0
77104,1er Arrondissement,45.76842,4.82745,Entire home/apt,1.0,2.0,$70.00,t,2,32,62,337,2021-09-15,1,1,0,0
136556,3e Arrondissement,45.76346,4.85338,Entire home/apt,1.0,3.0,$99.00,t,0,0,0,68,2021-09-15,1,1,0,0
137132,6e Arrondissement,45.76996,4.85332,Entire home/apt,1.0,1.0,$88.00,t,0,0,0,178,2021-09-15,1,1,0,0
174304,1er Arrondissement,45.76695,4.83241,Entire home/apt,3.0,4.0,$127.00,t,13,31,55,145,2021-09-15,2,2,0,0
242183,3e Arrondissement,45.74727,4.86683,Entire home/apt,,2.0,$50.00,t,0,0,0,14,2021-09-15,83,83,0,0
251630,1er Arrondissement,45.77047,4.834133,Entire home/apt,,2.0,$40.00,t,0,0,0,240,2021-09-15,2,2,0,0
298089,3e Arrondissement,45.75775,4.87644,Private room,1.0,2.0,$23.00,t,0,0,0,0,2021-09-15,8,0,8,0
329950,3e Arrondissement,45.7467,4.87099,Entire home/apt,2.0,2.0,$120.00,t,0,0,0,0,2021-09-15,1,1,0,0
342674,3e Arrondissement,45.75383,4.84758,Entire home/apt,3.0,5.0,$155.00,t,0,0,0,0,2021-09-15,1,1,0,0
349150,5e Arrondissement,45.76401,4.82896,Entire home/apt,1.0,3.0,$79.00,t,4,17,44,319,2021-09-15,1,1,0,0
365998,1er Arrondissement,45.76983,4.8293,Entire home/apt,1.0,1.0,$66.00,t,7,34,56,331,2021-09-15,1,1,0,0
369303,6e Arrondissement,45.76487,4.86761,Entire home/apt,1.0,1.0,$50.00,t,5,14,14,14,2021-09-15,1,1,0,0
387453,1er Arrondissement,45.769253,4.829836,Entire home/apt,3.0,3.0,$90.00,t,0,0,0,0,2021-09-15,1,1,0,0
403747,2e Arrondissement,45.75865,4.83353,Private room,1.0,2.0,$45.00,t,0,0,7,175,2021-09-15,1,0,1,0
416475,1er Arrondissement,45.76913,4.83567,Entire home/apt,2.0,2.0,$55.00,t,0,0,0,0,2021-09-15,1,1,0,0
452349,3e Arrondissement,45.75453,4.87081,Private room,1.0,1.0,$60.00,t,22,52,82,262,2021-09-15,1,0,1,0
504071,1er Arrondissement,45.77007,4.83259,Entire home/apt,3.0,3.0,$85.00,t,0,0,0,0,2021-09-15,1,1,0,0
511325,8e Arrondissement,45.73258,4.85905,Private room,1.0,1.0,$31.00,t,0,0,0,83,2021-09-15,1,0,1,0
539495,3e Arrondissement,45.75726,4.86464,Entire home/apt,1.0,2.0,$83.00,t,0,0,0,0,2021-09-15,1,1,0,0
551810,2e Arrondissement,45.76489,4.8314,Entire home/apt,1.0,2.0,$103.00,t,0,12,37,267,2021-09-15,1,1,0,0
593123,7e Arrondissement,45.74275,4.83755,Private room,1.0,1.0,$26.00,t,0,0,0,0,2021-09-15,1,0,1,0
612551,1er Arrondissement,45.76903,4.83281,Entire home/apt,1.0,3.0,$70.00,t,1,1,3,278,2021-09-15,6,5,1,0
614603,1er Arrondissement,45.76879,4.83667,Entire home/apt,1.0,2.0,$100.00,t,8,8,8,21,2021-09-15,1,1,0,0
626944,6e Arrondissement,45.76648,4.84947,Entire home/apt,2.0,3.0,$120.00,t,8,34,56,324,2021-09-15,2,2,0,0
635366,5e Arrondissement,45.75629,4.82355,Private room,1.0,1.0,$52.00,t,1,1,9,9,2021-09-15,3,2,1,0
635954,5e Arrondissement,45.75793,4.825,Entire home/apt,2.0,2.0,$102.00,t,0,0,0,226,2021-09-15,3,2,1,0
656723,1er Arrondissement,45.76612,4.83513,Entire home/apt,1.0,1.0,$95.00,t,14,22,22,50,2021-09-15,1,1,0,0
681291,4e Arrondissement,45.77986,4.83801,Private room,1.0,0.0,$45.00,t,17,36,61,61,2021-09-15,1,0,1,0
684345,1er Arrondissement,45.77118,4.83666,Entire home/apt,,2.0,$50.00,t,2,15,45,225,2021-09-15,1,1,0,0
693262,3e Arrondissement,45.75346,4.85145,Entire home/apt,1.0,2.0,$45.00,t,0,0,0,122,2021-09-15,1,1,0,0
695607,3e Arrondissement,45.74342,4.88471,Entire home/apt,2.0,2.0,$146.00,t,0,0,0,257,2021-09-15,1,1,0,0
730564,1er Arrondissement,45.7721,4.82906,Entire home/apt,2.0,3.0,$250.00,t,0,0,0,0,2021-09-15,1,1,0,0
737774,1er Arrondissement,45.77146,4.82684,Entire home/apt,1.0,1.0,$180.00,t,25,55,85,360,2021-09-15,1,1,0,0
746054,3e Arrondissement,45.75456,4.85125,Private room,1.0,1.0,$58.00,t,0,13,43,318,2021-09-15,2,0,2,0
747327,7e Arrondissement,45.74071,4.84146,Entire home/apt,4.0,4.0,$110.00,t,0,0,0,0,2021-09-15,1,1,0,0
758266,2e Arrondissement,45.75293,4.83113,Private room,1.0,2.0,$90.00,t,0,0,0,0,2021-09-15,1,0,1,0
759321,3e Arrondissement,45.7536,4.84924,Private room,1.0,1.0,$58.00,t,0,13,43,318,2021-09-15,2,0,2,0
766349,5e Arrondissement,45.75939,4.82509,Entire home/apt,3.0,3.0,$202.00,t,8,32,62,308,2021-09-15,2,2,0,0
768803,5e Arrondissement,45.7486,4.81133,Entire home/apt,1.0,1.0,$70.00,t,2,6,10,43,2021-09-15,1,1,0,0
779134,1er Arrondissement,45.76658,4.8296,Entire home/apt,1.0,1.0,$140.00,t,17,36,49,67,2021-09-15,1,1,0,0
783471,1er Arrondissement,45.77147,4.83324,Entire home/apt,1.0,2.0,$59.00,t,5,11,39,46,2021-09-15,1,1,0,0
