id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2017-956151,2017-01-09,000001,Vente,124000,18,,RUE DU CENTRE,0021,69420,69007,Ampuis,69,,,69007000AB0560,,,4,,91,51.74,,,,,,,2,2,Appartement,49,2,,,,,,4.810592,45.490373
2017-956151,2017-01-09,000001,Vente,124000,16,,RUE DU CENTRE,0021,69420,69007,Ampuis,69,,,69007000AB0560,,,52,,,,,,,,,,1,3,Dépendance,,0,,,,,,4.810592,45.490373
2017-956232,2017-01-13,000001,Vente,185000,14,,RUE DU PORT,0110,69420,69007,Ampuis,69,,,69007000AD0144,,,,,,,,,,,,,0,1,Maison,56,3,S,sols,,,407,,
2017-956270,2017-01-24,000001,Vente,382100,15,,RUE DU PORT,0110,69420,69007,Ampuis,69,,,69007000AD0381,,,,,,,,,,,,,0,1,Maison,127,6,S,sols,,,776,4.811188,45.485741
2017-956337,2017-01-25,000001,Vente,85000,,,LE BOURG,B010,69420,69007,Ampuis,69,,,69007000AB0659,,,,,,,,,,,,,0,,,,,S,sols,,,6,4.809053,45.489323
2017-956337,2017-01-25,000001,Vente,85000,,,LE BOURG,B010,69420,69007,Ampuis,69,,,69007000AB0793,,,,,,,,,,,,,0,,,,,S,sols,,,226,4.809181,45.489171
2017-956339,2017-01-23,000001,Vente,120000,,,LES COUTURES,B041,69420,69007,Ampuis,69,,,69007000AC0548,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,223,4.815785,45.489802
2017-956339,2017-01-23,000001,Vente,120000,,,LES COUTURES,B041,69420,69007,Ampuis,69,,,69007000AC0549,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,630,4.81614,45.489421
2017-956339,2017-01-23,000001,Vente,120000,,,LES COUTURES,B041,69420,69007,Ampuis,69,,,69007000AC0554,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,35,4.816274,45.488963
2017-956339,2017-01-23,000001,Vente,120000,,,LES COUTURES,B041,69420,69007,Ampuis,69,,,69007000AC0555,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,195,4.815807,45.489875
2017-956340,2017-01-26,000001,Vente,124000,,,LES COUTURES,B041,69420,69007,Ampuis,69,,,69007000AC0547,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,412,4.815693,45.489707
2017-956340,2017-01-26,000001,Vente,124000,,,LES COUTURES,B041,69420,69007,Ampuis,69,,,69007000AC0549,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,630,4.81614,45.489421
2017-956340,2017-01-26,000001,Vente,124000,,,LES COUTURES,B041,69420,69007,Ampuis,69,,,69007000AC0554,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,35,4.816274,45.488963
2017-956489,2017-01-23,000001,Vente,133000,18,,BD DES ALLEES,0007,69420,69007,Ampuis,69,,,69007000AB0635,,,2,55.44,,,,,,,,,1,2,Appartement,56,1,,,,,,4.808287,45.488856
2017-956489,2017-01-23,000001,Vente,133000,18,,BD DES ALLEES,0007,69420,69007,Ampuis,69,,,69007000AB0635,,,10,,,,,,,,,,1,3,Dépendance,,0,,,,,,4.808287,45.488856
2017-956492,2017-01-26,000001,Vente,231000,,,VERENAY,B101,69420,69007,Ampuis,69,,,69007000AV0382,,,,,,,,,,,,,0,1,Maison,119,6,S,sols,,,556,4.829385,45.502054
2017-956492,2017-01-26,000001,Vente,231000,,,BASSE VIALLIERE,B005,69420,69007,Ampuis,69,,,69007000AV0384,,,,,,,,,,,,,0,,,,,S,sols,,,28,4.830221,45.501686
2017-956492,2017-01-26,000001,Vente,231000,,,BASSE VIALLIERE,B005,69420,69007,Ampuis,69,,,69007000AV0385,,,,,,,,,,,,,0,,,,,S,sols,,,281,4.830163,45.501609
2017-956492,2017-01-26,000001,Vente,231000,,,BASSE VIALLIERE,B005,69420,69007,Ampuis,69,,,69007000AV0386,,,,,,,,,,,,,0,,,,,S,sols,,,37,4.829771,45.501992
2017-956492,2017-01-26,000001,Vente,231000,,,BASSE VIALLIERE,B005,69420,69007,Ampuis,69,,,69007000AV0387,,,,,,,,,,,,,0,,,,,S,sols,,,518,4.830073,45.501732
2017-956492,2017-01-26,000001,Vente,231000,,,BASSE VIALLIERE,B005,69420,69007,Ampuis,69,,,69007000AV0390,,,,,,,,,,,,,0,,,,,J,jardins,,,204,4.829123,45.501948
2017-956622,2017-02-17,000001,Vente,30000,,,LE CHAMPIN,B019,69420,69007,Ampuis,69,,,69007000AI0096,,,,,,,,,,,,,0,,,,,S,sols,,,158,4.803884,45.501382
2017-956668,2017-02-24,000001,Vente,65000,18,,RUE DU CENTRE,0021,69420,69007,Ampuis,69,,,69007000AB0560,,,11,,83,26.12,,,,,,,2,2,Appartement,26,1,,,,,,4.810592,45.490373
2017-956668,2017-02-24,000001,Vente,65000,16,,RUE DU CENTRE,0021,69420,69007,Ampuis,69,,,69007000AB0560,,,68,,,,,,,,,,1,3,Dépendance,,0,,,,,,4.810592,45.490373
2017-956707,2017-02-21,000001,Vente,43000,,,LE MOLLARD,B071,69420,69007,Ampuis,69,,,69007000AH0263,,,,,,,,,,,,,0,,,,,T,terres,,,872,4.796142,45.487695
2017-956707,2017-02-21,000001,Vente,43000,,,LE MOLLARD,B071,69420,69007,Ampuis,69,,,69007000AH0264,,,,,,,,,,,,,0,,,,,T,terres,,,522,4.79571,45.487856
2017-956740,2017-02-22,000002,Vente,200000,,,LE TRUCHET,B098,69420,69007,Ampuis,69,,,69007000AK0476,,,,,,,,,,,,,0,,,,,S,sols,,,5,4.799168,45.493598
2017-956740,2017-02-22,000002,Vente,200000,,,LE TRUCHET,B098,69420,69007,Ampuis,69,,,69007000AK0478,,,,,,,,,,,,,0,,,,,VI,vignes,,,3297,4.799313,45.49358
2017-956856,2017-03-08,000001,Vente,15000,,,LA ROCHE,B085,69420,69007,Ampuis,69,,,69007000AC0016,,,,,,,,,,,,,0,,,,,S,sols,,,58,4.814196,45.491781
2017-956857,2017-03-08,000001,Vente,105000,10,,RTE DE ROZIER,0170,69420,69007,Ampuis,69,,,69007000AC0018,,,,,,,,,,,,,0,1,Maison,55,3,S,sols,,,131,4.814347,45.491814
2017-956859,2017-03-13,000001,Vente,250000,,,RITOLAS,B083,69420,69007,Ampuis,69,,,69007000AI1224,,,,,,,,,,,,,0,,,,,S,sols,,,251,4.802222,45.499635
2017-956859,2017-03-13,000001,Vente,250000,,,RITOLAS,B083,69420,69007,Ampuis,69,,,69007000AI1225,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,438,4.802139,45.499825
2017-956859,2017-03-13,000001,Vente,250000,,,RITOLAS,B083,69420,69007,Ampuis,69,,,69007000AI1232,,,,,,,,,,,,,0,,,,,S,sols,,,1,4.802392,45.499498
2017-956859,2017-03-13,000001,Vente,250000,107,,RUE DU VIEUX RITOLAS,0275,69420,69007,Ampuis,69,,,69007000AI1233,,,,,,,,,,,,,0,1,Maison,126,4,S,sols,,,596,4.802195,45.499539
2017-956931,2017-03-20,000001,Vente,135000,12,,CHE DES COUTURES,0024,69420,69007,Ampuis,69,,,69007000AC0543,,,,,,,,,,,,,0,1,Maison,130,5,AB,terrains a bâtir,,,170,4.816298,45.489134
2017-956931,2017-03-20,000001,Vente,135000,,,LES COUTURES,B041,69420,69007,Ampuis,69,,,69007000AC0549,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,630,4.81614,45.489421
2017-956931,2017-03-20,000001,Vente,135000,,,LES COUTURES,B041,69420,69007,Ampuis,69,,,69007000AC0551,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,330,4.816154,45.489085
2017-956931,2017-03-20,000001,Vente,135000,,,LES COUTURES,B041,69420,69007,Ampuis,69,,,69007000AC0554,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,35,4.816274,45.488963
2017-956943,2017-03-09,000001,Vente,115000,,,LE TRUCHET,B098,69420,69007,Ampuis,69,,,69007000AK0123,,,,,,,,,,,,,0,,,,,S,sols,,,65,4.798932,45.494258
2017-956943,2017-03-09,000001,Vente,115000,,,LE TRUCHET,B098,69420,69007,Ampuis,69,,,69007000AK0123,,,,,,,,,,,,,0,,,,,VI,vignes,,,3500,4.798932,45.494258
2017-956943,2017-03-09,000001,Vente,115000,,,LE TRUCHET,B098,69420,69007,Ampuis,69,,,69007000AK0124,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,3810,4.799457,45.494863
2017-956943,2017-03-09,000001,Vente,115000,,,LE TRUCHET,B098,69420,69007,Ampuis,69,,,69007000AK0125,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,1628,4.800196,45.494426
2017-956943,2017-03-09,000001,Vente,115000,,,LE TRUCHET,B098,69420,69007,Ampuis,69,,,69007000AK0126,,,,,,,,,,,,,0,,,,,T,terres,,,753,4.79971,45.494207
2017-956943,2017-03-09,000001,Vente,115000,,,LE TRUCHET,B098,69420,69007,Ampuis,69,,,69007000AK0126,,,,,,,,,,,,,0,,,,,VI,vignes,,,450,4.79971,45.494207
2017-956943,2017-03-09,000001,Vente,115000,,,LE TRUCHET,B098,69420,69007,Ampuis,69,,,69007000AK0127,,,,,,,,,,,,,0,,,,,VI,vignes,,,450,4.799333,45.493948
2017-956943,2017-03-09,000001,Vente,115000,,,LE TRUCHET,B098,69420,69007,Ampuis,69,,,69007000AK0127,,,,,,,,,,,,,0,,,,,L,landes,,,1590,4.799333,45.493948
2017-956943,2017-03-09,000001,Vente,115000,,,LE TRUCHET,B098,69420,69007,Ampuis,69,,,69007000AK0475,,,,,,,,,,,,,0,,,,,S,sols,,,13,4.799194,45.493609
2017-956943,2017-03-09,000001,Vente,115000,,,LE TRUCHET,B098,69420,69007,Ampuis,69,,,69007000AK0477,,,,,,,,,,,,,0,,,,,S,sols,,,39,4.799209,45.493616
2017-957171,2017-04-04,000002,Vente,250000,,,LES COUTURES,B041,69420,69007,Ampuis,69,,,69007000AC0567,,,,,,,,,,,,,0,,,,,J,jardins,,,964,4.816263,45.490109
2017-957171,2017-04-04,000002,Vente,250000,,,LES COUTURES,B041,69420,69007,Ampuis,69,,,69007000AC0567,,,,,,,,,,,,,0,,,,,S,sols,,,500,4.816263,45.490109
2017-957171,2017-04-04,000002,Vente,250000,,,LES COUTURES,B041,69420,69007,Ampuis,69,,,69007000AC0568,,,,,,,,,,,,,0,,,,,S,sols,,,3,4.816671,45.490396
2017-957231,2017-04-06,000001,Vente,1800,,,FOURVIER,B047,69420,69007,Ampuis,69,,,69007000AS0702,,,,,,,,,,,,,0,,,,,L,landes,,,1561,4.825986,45.499513
2017-957384,2017-04-14,000001,Vente,158900,16,,RUE DU CENTRE,0021,69420,69007,Ampuis,69,,,69007000AB0560,,,20,,95,72.87,,,,,,,2,2,Appartement,72,3,,,,,,4.810592,45.490373
2017-957384,2017-04-14,000001,Vente,158900,16,,RUE DU CENTRE,0021,69420,69007,Ampuis,69,,,69007000AB0560,,,36,,,,,,,,,,1,3,Dépendance,,0,,,,,,4.810592,45.490373
2017-957385,2017-04-18,000001,Vente,189000,12,,RUE DU CENTRE,0021,69420,69007,Ampuis,69,,,69007000AB0556,,,30,,,,,,,,,,1,3,Dépendance,,0,,,,,,4.810274,45.490486
2017-957385,2017-04-18,000001,Vente,189000,12,,RUE DU CENTRE,0021,69420,69007,Ampuis,69,,,69007000AB0556,,,16,,70,,,,,,,,2,2,Appartement,87,4,,,,,,4.810274,45.490486
2017-957435,2017-04-24,000001,Vente,1048000,,,LE COMBARD,B032,69420,69007,Ampuis,69,,,69007000AH0424,,,,,,,,,,,,,0,,,,,VI,vignes,,,11171,4.793086,45.48746
2017-957435,2017-04-24,000001,Vente,1048000,,,LE COMBARD,B032,69420,69007,Ampuis,69,,,69007000AH0427,,,,,,,,,,,,,0,,,,,VI,vignes,,,448,4.792562,45.487088
2017-957526,2017-05-04,000001,Vente,3342,,,MANTELET,B068,69420,69007,Ampuis,69,,,69007000AE0421,,,,,,,,,,,,,0,,,,,J,jardins,,,2228,4.798178,45.481933
2017-957655,2017-05-11,000001,Vente,187405,12,,RUE DU CENTRE,0021,69420,69007,Ampuis,69,,,69007000AB0556,,,39,,,,,,,,,,1,3,Dépendance,,0,,,,,,4.810274,45.490486
2017-957655,2017-05-11,000001,Vente,187405,14,,RUE DU CENTRE,0021,69420,69007,Ampuis,69,,,69007000AB0556,,,24,,66,69.24,,,,,,,2,2,Appartement,68,3,,,,,,4.810274,45.490486
2017-957825,2017-05-23,000002,Vente,1,,,LE BOURG,B010,69420,69007,Ampuis,69,,,69007000AB0776,,,,,,,,,,,,,0,,,,,J,jardins,,,27,4.809955,45.489562
2017-957845,2017-05-31,000001,Vente,288900,5546,,RITOLAS,B083,69420,69007,Ampuis,69,,,69007000AI0680,,,,,,,,,,,,,0,1,Maison,79,4,T,terres,,,1260,4.800368,45.500509
2017-957938,2017-06-19,000001,Vente,379500,15,,RUE DU PONT ROYAL,0090,69420,69007,Ampuis,69,,,69007000AB0012,,,,,,,,,,,,,0,1,Maison,80,3,S,sols,,,305,4.804573,45.488355
2017-957938,2017-06-19,000001,Vente,379500,,,LE CHANTIER,B021,69420,69007,Ampuis,69,,,69007000AB0623,,,,,,,,,,,,,0,,,,,J,jardins,,,495,4.804658,45.488434
2017-957942,2017-06-19,000001,Vente,,6,,AV DU CHATEAU,0020,69420,69007,Ampuis,69,,,69007000AB0238,,,,,,,,,,,,,0,1,Maison,53,3,S,sols,,,289,4.810434,45.488255
2017-957943,2017-06-19,000002,Vente,35000,6,,AV DU CHATEAU,0020,69420,69007,Ampuis,69,,,69007000AB0238,,,,,,,,,,,,,0,1,Maison,53,3,S,sols,,,289,4.810434,45.488255
2017-957944,2017-06-06,000001,Vente,465000,,,FONGEANT,B046,69420,69007,Ampuis,69,,,69007000AI0531,,,,,,,,,,,,,0,,,,,VI,vignes,,,1053,4.803539,45.495585
2017-957944,2017-06-06,000001,Vente,465000,,,FONGEANT,B046,69420,69007,Ampuis,69,,,69007000AI0533,,,,,,,,,,,,,0,,,,,VI,vignes,,,3675,4.803424,45.496008
2017-957944,2017-06-06,000001,Vente,465000,,,FONGEANT,B046,69420,69007,Ampuis,69,,,69007000AI0548,,,,,,,,,,,,,0,,,,,PA,pâtures,PATUR,Pâture plantée,1326,4.800442,45.495145
2017-957944,2017-06-06,000001,Vente,465000,,,FONGEANT,B046,69420,69007,Ampuis,69,,,69007000AI0549,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,448,4.800164,45.494775
2017-958004,2017-06-19,000001,Vente,46333.34,,,VERENAY,B101,69420,69007,Ampuis,69,,,69007000AT1282,,,,,,,,,,,,,0,,,,,S,sols,,,58,4.831863,45.502443
2017-958004,2017-06-19,000001,Vente,46333.34,,,VERENAY,B101,69420,69007,Ampuis,69,,,69007000AT1283,,,,,,,,,,,,,0,,,,,S,sols,,,73,4.831966,45.502615
2017-958004,2017-06-19,000001,Vente,46333.34,,,VERENAY,B101,69420,69007,Ampuis,69,,,69007000AT1286,,,,,,,,,,,,,0,,,,,S,sols,,,77,4.832567,45.50274
2017-958004,2017-06-19,000001,Vente,46333.34,,,VERENAY,B101,69420,69007,Ampuis,69,,,69007000AT1291,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,838,4.832087,45.502545
2017-958004,2017-06-19,000001,Vente,46333.34,,,VERENAY,B101,69420,69007,Ampuis,69,,,69007000AT1292,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,66,4.832021,45.502611
2017-958006,2017-06-19,000001,Vente,50733.33,,,VERENAY,B101,69420,69007,Ampuis,69,,,69007000AT1282,,,,,,,,,,,,,0,,,,,S,sols,,,58,4.831863,45.502443
2017-958006,2017-06-19,000001,Vente,50733.33,,,VERENAY,B101,69420,69007,Ampuis,69,,,69007000AT1284,,,,,,,,,,,,,0,,,,,S,sols,,,28,4.832097,45.502754
2017-958006,2017-06-19,000001,Vente,50733.33,,,VERENAY,B101,69420,69007,Ampuis,69,,,69007000AT1286,,,,,,,,,,,,,0,,,,,S,sols,,,77,4.832567,45.50274
2017-958006,2017-06-19,000001,Vente,50733.33,,,VERENAY,B101,69420,69007,Ampuis,69,,,69007000AT1291,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,838,4.832087,45.502545
2017-958006,2017-06-19,000001,Vente,50733.33,,,VERENAY,B101,69420,69007,Ampuis,69,,,69007000AT1293,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,155,4.832135,45.502715
2017-958008,2017-06-19,000002,Vente,63833.33,,,VERENAY,B101,69420,69007,Ampuis,69,,,69007000AT1282,,,,,,,,,,,,,0,,,,,S,sols,,,58,4.831863,45.502443
2017-958008,2017-06-19,000002,Vente,63833.33,,,VERENAY,B101,69420,69007,Ampuis,69,,,69007000AT1285,,,,,,,,,,,,,0,,,,,S,sols,,,70,4.832276,45.502873
2017-958008,2017-06-19,000002,Vente,63833.33,,,VERENAY,B101,69420,69007,Ampuis,69,,,69007000AT1286,,,,,,,,,,,,,0,,,,,S,sols,,,77,4.832567,45.50274
2017-958008,2017-06-19,000002,Vente,63833.33,,,VERENAY,B101,69420,69007,Ampuis,69,,,69007000AT1287,,,,,,,,,,,,,0,,,,,S,sols,,,16,4.832456,45.50283
2017-958008,2017-06-19,000002,Vente,63833.33,,,VERENAY,B101,69420,69007,Ampuis,69,,,69007000AT1291,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,838,4.832087,45.502545
2017-958008,2017-06-19,000002,Vente,63833.33,,,VERENAY,B101,69420,69007,Ampuis,69,,,69007000AT1294,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,228,4.832349,45.502822
2017-958090,2017-06-26,000001,Vente,223940,,,LE VAGNOT,B099,69420,69007,Ampuis,69,,,69007000AD0390,,,,,,,,,,,,,0,,,,,S,sols,,,29,4.809025,45.486513
2017-958090,2017-06-26,000001,Vente,223940,,,LE VAGNOT,B099,69420,69007,Ampuis,69,,,69007000AD0391,,,,,,,,,,,,,0,,,,,S,sols,,,84,4.809008,45.486474
2017-958090,2017-06-26,000001,Vente,223940,8,,RUE DE LA PLAINE,0070,69420,69007,Ampuis,69,,,69007000AD0392,,,,,,,,,,,,,0,1,Maison,98,3,S,sols,,,185,4.809205,45.486558
2017-958090,2017-06-26,000001,Vente,223940,,,LE VAGNOT,B099,69420,69007,Ampuis,69,,,69007000AD0395,,,,,,,,,,,,,0,,,,,S,sols,,,38,4.809325,45.486556
2017-958099,2017-06-21,000001,Vente,125000,,,LES COUTURES,B041,69420,69007,Ampuis,69,,,69007000AC0545,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,346,4.815988,45.489414
2017-958099,2017-06-21,000001,Vente,125000,,,LES COUTURES,B041,69420,69007,Ampuis,69,,,69007000AC0549,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,630,4.81614,45.489421
2017-958099,2017-06-21,000001,Vente,125000,,,LES COUTURES,B041,69420,69007,Ampuis,69,,,69007000AC0553,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,54,4.815955,45.48935
2017-958099,2017-06-21,000001,Vente,125000,,,LES COUTURES,B041,69420,69007,Ampuis,69,,,69007000AC0554,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,35,4.816274,45.488963
2017-958149,2017-06-15,000001,Vente,9000,,,LESARDES,B065,69420,69007,Ampuis,69,,,69007000AT0369,,,,,,,,,,,,,0,,,,,L,landes,,,663,4.838007,45.508131
2017-958175,2017-06-28,000001,Vente,320550,,,LE BOURG,B010,69420,69007,Ampuis,69,,,69007000AB0527,,,,,,,,,,,,,0,,,,,J,jardins,,,216,4.811009,45.489864
2017-958175,2017-06-28,000001,Vente,320550,88,,BD DES ALLEES,0007,69420,69007,Ampuis,69,,,69007000AB0528,,,,,,,,,,,,,0,1,Maison,70,4,S,sols,,,476,4.811136,45.489679
2017-958264,2017-06-22,000001,Vente,196000,5270,,LA ROCHE,B085,69420,69007,Ampuis,69,,,69007000AC0105,,,,,,,,,,,,,0,1,Maison,120,4,S,sols,,,83,4.816556,45.492854
