# CSV-File created with merge-csv.com
# -----------------------------------------------------------

id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2017-966060,2017-01-27,000001,Vente,178000,5025,,LE BOURG,B002,69170,69001,Affoux,69,,,690010000E0063,,,,,,,,,,,,,0,1,Maison,96,4,S,sols,,,240,4.406531,45.844525
2017-966060,2017-01-27,000001,Vente,178000,,,LE BOURG,B002,69170,69001,Affoux,69,,,690010000E0064,,,,,,,,,,,,,0,,,,,S,sols,,,50,4.406576,45.84451
2017-966060,2017-01-27,000001,Vente,178000,,,LE BOURG,B002,69170,69001,Affoux,69,,,690010000E0196,,,,,,,,,,,,,0,,,,,L,landes,,,89,4.406798,45.844676
2017-966060,2017-01-27,000001,Vente,178000,,,LE BOURG,B002,69170,69001,Affoux,69,,,690010000E0259,,,,,,,,,,,,,0,,,,,S,sols,,,30,4.406714,45.844525
2017-966060,2017-01-27,000001,Vente,178000,,,LE BOURG,B002,69170,69001,Affoux,69,,,690010000E0261,,,,,,,,,,,,,0,,,,,S,sols,,,72,4.40661,45.844498
2017-966671,2017-03-27,000001,Vente,210000,,,CHEZ MANDERON,B006,69170,69001,Affoux,69,,,690010000B0439,,,,,,,,,,,,,0,,,,,T,terres,,,250,4.433878,45.837639
2017-966671,2017-03-27,000001,Vente,210000,,,CHEZ MANDERON,B006,69170,69001,Affoux,69,,,690010000B0441,,,,,,,,,,,,,0,,,,,S,sols,,,100,4.433721,45.837605
2017-966671,2017-03-27,000001,Vente,210000,,,CHEZ MANDERON,B006,69170,69001,Affoux,69,,,690010000B0441,,,,,,,,,,,,,0,,,,,J,jardins,,,525,4.433721,45.837605
2017-966671,2017-03-27,000001,Vente,210000,5066,A,CHEZ MANDERON,B006,69170,69001,Affoux,69,,,690010000B0551,,,,,,,,,,,,,0,1,Maison,124,4,J,jardins,,,825,4.434215,45.837457
2017-966671,2017-03-27,000001,Vente,210000,5066,A,CHEZ MANDERON,B006,69170,69001,Affoux,69,,,690010000B0551,,,,,,,,,,,,,0,1,Maison,124,4,S,sols,,,370,4.434215,45.837457
2017-966671,2017-03-27,000001,Vente,210000,,,CHEZ MANDERON,B006,69170,69001,Affoux,69,,,690010000B0556,,,,,,,,,,,,,0,,,,,S,sols,,,35,4.434155,45.83738
2017-966971,2017-04-20,000002,Vente,382,,,LE CRET CUISSARD,B009,69170,69001,Affoux,69,,,690010000C0255,,,,,,,,,,,,,0,,,,,T,terres,,,1528,4.397838,45.837899
2017-967262,2017-05-16,000001,Vente,15750,,,LE CRET DE ROCHEFORT,B010,69170,69001,Affoux,69,,,690010000B0271,,,,,,,,,,,,,0,,,,,L,landes,,,1540,4.423821,45.827543
2017-967262,2017-05-16,000001,Vente,15750,,,LE CRET DE ROCHEFORT,B010,69170,69001,Affoux,69,,,690010000B0274,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,6060,4.422401,45.827751
2017-967262,2017-05-16,000001,Vente,15750,,,LE CRET DE ROCHEFORT,B010,69170,69001,Affoux,69,,,690010000B0275,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,9960,4.422503,45.828122
2017-967262,2017-05-16,000001,Vente,15750,,,LES PRAIRIES,B020,69170,69001,Affoux,69,,,690010000B0287,,,,,,,,,,,,,0,,,,,P,prés,,,18650,4.418255,45.82823
2017-967262,2017-05-16,000001,Vente,15750,,,LE CRET DE ROCHEFORT,B010,69170,69001,Affoux,69,,,690010000B0437,,,,,,,,,,,,,0,,,,,P,prés,,,95,4.420475,45.827317
2017-967279,2017-05-19,000001,Vente,52500,,,CREPIT,B008,69170,69001,Affoux,69,,,690010000E0398,,,,,,,,,,,,,0,,,,,J,jardins,,,1588,4.416417,45.836454
2017-967318,2017-05-16,000001,Vente,19000,,,LE CRET CUISSARD,B009,69170,69001,Affoux,69,,,690010000C0157,,,,,,,,,,,,,0,,,,,BR,futaies résineuses,,,5425,4.403204,45.835121
2017-967318,2017-05-16,000001,Vente,19000,,,LE CRET CUISSARD,B009,69170,69001,Affoux,69,,,690010000C0157,,,,,,,,,,,,,0,,,,,BR,futaies résineuses,,,13934,4.403204,45.835121
2017-967951,2017-06-21,000001,Vente,98000,5008,,LE BOURG,B002,69170,69001,Affoux,69,,,690010000E0028,,,,,,,,,,,,,0,1,Maison,92,3,S,sols,,,315,4.40244,45.844989
