# CSV-File created with merge-csv.com
# -----------------------------------------------------------

id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2019-1008813,2019-02-13,000001,Vente,150,,,LES PLACES,B019,69170,69001,Affoux,69,,,690010000C0170,,,,,,,,,,,,,0,,,,,L,landes,,,156,4.408937,45.838749
2019-1011047,2019-07-09,000001,Vente,9979,,,LE CRET DE ROCHEFORT,B010,69170,69001,Affoux,69,,,690010000B0241,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,4685,4.426452,45.832133
2019-1011047,2019-07-09,000001,Vente,9979,,,LE CRET DE ROCHEFORT,B010,69170,69001,Affoux,69,,,690010000B0243,,,,,,,,,,,,,0,,,,,BR,futaies résineuses,,,2280,4.426714,45.831759
2019-1011047,2019-07-09,000001,Vente,9979,,,LE CRET DE ROCHEFORT,B010,69170,69001,Affoux,69,,,690010000B0246,,,,,,,,,,,,,0,,,,,BR,futaies résineuses,,,5040,4.42647,45.831047
2019-1011047,2019-07-09,000001,Vente,9979,,,LE CRET DE ROCHEFORT,B010,69170,69001,Affoux,69,,,690010000B0251,,,,,,,,,,,,,0,,,,,BR,futaies résineuses,,,13380,4.425171,45.831398
2019-1011047,2019-07-09,000001,Vente,9979,,,LE CRET DE ROCHEFORT,B010,69170,69001,Affoux,69,,,690010000B0345,,,,,,,,,,,,,0,,,,,L,landes,,,3775,4.426281,45.831598
2019-1011047,2019-07-09,000001,Vente,9979,,,LE CRET DE ROCHEFORT,B010,69170,69001,Affoux,69,,,690010000B0533,,,,,,,,,,,,,0,,,,,BR,futaies résineuses,,,20735,4.425973,45.833082
2019-1012768,2019-11-07,000001,Vente,138000,,,LE CRET DE ROCHEFORT,B010,69170,69001,Affoux,69,,,690010000B0238,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,380,4.423063,45.832928
2019-1012768,2019-11-07,000001,Vente,138000,,,LE CRET DE ROCHEFORT,B010,69170,69001,Affoux,69,,,690010000B0253,,,,,,,,,,,,,0,,,,,P,prés,,,20500,4.423079,45.831996
2019-1012768,2019-11-07,000001,Vente,138000,5048,,LE CRET DE ROCHEFORT,B010,69170,69001,Affoux,69,,,690010000B0254,,,,,,,,,,,,,0,1,Maison,95,2,S,sols,,,600,4.423141,45.831404
2019-1012768,2019-11-07,000001,Vente,138000,,,LE CRET DE ROCHEFORT,B010,69170,69001,Affoux,69,,,690010000B0255,,,,,,,,,,,,,0,,,,,P,prés,,,17500,4.422798,45.831512
2019-1012768,2019-11-07,000001,Vente,138000,,,LE CRET DE ROCHEFORT,B010,69170,69001,Affoux,69,,,690010000B0255,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,3000,4.422798,45.831512
2019-1012768,2019-11-07,000001,Vente,138000,,,LE CRET DE ROCHEFORT,B010,69170,69001,Affoux,69,,,690010000B0261,,,,,,,,,,,,,0,,,,,P,prés,,,17820,4.42305,45.830755
2019-1012768,2019-11-07,000001,Vente,138000,,,LE CRET DE ROCHEFORT,B010,69170,69001,Affoux,69,,,690010000B0262,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,2250,4.424164,45.830529
2019-1012768,2019-11-07,000001,Vente,138000,,,LE CRET DE ROCHEFORT,B010,69170,69001,Affoux,69,,,690010000B0263,,,,,,,,,,,,,0,,,,,BR,futaies résineuses,,,2350,4.425133,45.830571
2019-1012768,2019-11-07,000001,Vente,138000,,,LE CRET DE ROCHEFORT,B010,69170,69001,Affoux,69,,,690010000B0304,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,5992,4.421576,45.832477
2019-1012768,2019-11-07,000001,Vente,138000,,,LE CRET DE ROCHEFORT,B010,69170,69001,Affoux,69,,,690010000B0416,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,4342,4.423666,45.832926
2019-1008389,2019-01-22,000001,Vente,2200,,,BOIS DES HAYES,B004,69790,69002,Aigueperse,69,,,690020000A0217,,,,,,,,,,,,,0,,,,,BR,futaies résineuses,,,430,4.420251,46.290006
2019-1008389,2019-01-22,000001,Vente,2200,,,BOIS DES HAYES,B004,69790,69002,Aigueperse,69,,,690020000A0229,,,,,,,,,,,,,0,,,,,BR,futaies résineuses,,,6256,4.419514,46.290205
2019-1009353,2019-03-18,000001,Vente,145000,,,LA BARRE,B001,69790,69002,Aigueperse,69,,,69002000AE0009,,,,,,,,,,,,,0,,,,,T,terres,,,1370,4.416661,46.273076
2019-1009353,2019-03-18,000001,Vente,145000,5065,,LA BARRE,B001,69790,69002,Aigueperse,69,,,69002000AE0010,,,,,,,,,,,,,0,1,Maison,80,3,S,sols,,,1075,4.416757,46.272822
2019-1009977,2019-05-04,000001,Vente,1000,,,LE BOURG,B008,69790,69002,Aigueperse,69,,,69002000AB0061,,,,,,,,,,,,,0,,,,,J,jardins,,,318,4.436221,46.276018
2019-1010067,2019-05-04,000002,Echange,1,,,LE BOURG,B008,69790,69002,Aigueperse,69,,,69002000AB0176,,,,,,,,,,,,,0,,,,,J,jardins,,,42,4.435845,46.277263
2019-1010067,2019-05-04,000003,Echange,1,,,LE BOURG,B008,69790,69002,Aigueperse,69,,,69002000AB0178,,,,,,,,,,,,,0,,,,,S,sols,,,42,4.435456,46.277108
2019-1011419,2019-08-06,000001,Vente,19700,5012,,LE BOURG,B008,69790,69002,Aigueperse,69,,,69002000AB0173,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,50,0,S,sols,,,329,4.434473,46.277667
2019-1011419,2019-08-06,000001,Vente,19700,5012,,LE BOURG,B008,69790,69002,Aigueperse,69,,,69002000AB0173,,,,,,,,,,,,,0,1,Maison,103,4,S,sols,,,329,4.434473,46.277667
2019-1011444,2019-08-06,000002,Vente,300,,,LE BOURG,B008,69790,69002,Aigueperse,69,,,69002000AB0180,,,,,,,,,,,,,0,,,,,S,sols,,,120,4.434033,46.277744
2019-1011703,2019-09-20,000001,Vente,98000,5157,A,LA ROCHE,B044,69790,69002,Aigueperse,69,,,69002000AK0116,,,,,,,,,,,,,0,1,Maison,78,3,T,terres,,,1352,4.453576,46.278631
2019-1011703,2019-09-20,000001,Vente,98000,5157,A,LA ROCHE,B044,69790,69002,Aigueperse,69,,,69002000AK0116,,,,,,,,,,,,,0,1,Maison,78,3,S,sols,,,1155,4.453576,46.278631
2019-1012432,2019-10-17,000001,Vente,1000,,,CHEVAGNY,B016,69790,69002,Aigueperse,69,,,69002000AK0040,,,,,,,,,,,,,0,,,,,P,prés,,,7085,4.452881,46.27965
2019-1012432,2019-10-17,000001,Vente,1000,,,CHEVAGNY,B016,69790,69002,Aigueperse,69,,,69002000AK0103,,,,,,,,,,,,,0,,,,,P,prés,,,1767,4.452436,46.278446
2019-1012432,2019-10-17,000001,Vente,1000,,,LA ROCHE,B044,69790,69002,Aigueperse,69,,,69002000AK0109,,,,,,,,,,,,,0,,,,,P,prés,,,1633,4.452747,46.27843
2019-1012432,2019-10-17,000001,Vente,1000,,,LA ROCHE,B044,69790,69002,Aigueperse,69,,,69002000AK0110,,,,,,,,,,,,,0,,,,,P,prés,,,1895,4.453098,46.279703
2019-1013149,2019-12-14,000001,Vente,95000,5102,,CHANTE ALOUETTE,B012,69790,69002,Aigueperse,69,,,69002000AH0010,,,,,,,,,,,,,0,1,Maison,103,4,S,sols,,,1652,4.412628,46.283658
2019-1013149,2019-12-14,000001,Vente,95000,,,CHANTE ALOUETTE,B012,69790,69002,Aigueperse,69,,,69002000AH0255,,,,,,,,,,,,,0,,,,,P,prés,,,1599,4.412491,46.283656
2019-971907,2019-01-17,000001,Vente,6000,,,LES GDES TERRES,B010,69250,69003,Albigny-sur-Saône,69,,,69003000AB0104,,,,,,,,,,,,,0,,,,,T,terres,,,770,4.833148,45.87261
2019-972088,2019-01-10,000001,Vente,190000,4,,AV GABRIEL PERI,0100,69250,69003,Albigny-sur-Saône,69,,,69003000AM0182,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,836,4.831617,45.873883
2019-972088,2019-01-10,000001,Vente,190000,4,,AV GABRIEL PERI,0100,69250,69003,Albigny-sur-Saône,69,,,69003000AM0183,,,,,,,,,,,,,0,,,,,S,sols,,,101,4.832118,45.873895
2019-972122,2019-01-16,000001,Vente,145000,2,,AV DE LA GARE,0120,69250,69003,Albigny-sur-Saône,69,,,69003000AA0081,,,1,38.86,3,,,,,,,,2,2,Appartement,66,3,,,,,,4.83477,45.876814
2019-972122,2019-01-16,000001,Vente,145000,2,,AV DE LA GARE,0120,69250,69003,Albigny-sur-Saône,69,,,69003000AA0081,,,7,38.68,,,,,,,,,1,3,Dépendance,,0,,,,,,4.83477,45.876814
2019-972170,2019-01-31,000001,Vente en l'état futur d'achèvement,246000,,,LES AVORAUX,B001,69250,69003,Albigny-sur-Saône,69,,,69003000AM0091,,,105,,,,,,,,,,1,3,Dépendance,,0,,,,,,4.830194,45.871995
2019-972170,2019-01-31,000001,Vente en l'état futur d'achèvement,246000,,,LES AVORAUX,B001,69250,69003,Albigny-sur-Saône,69,,,69003000AM0091,,,101,,,,,,,,,,1,2,Appartement,61,3,,,,,,4.830194,45.871995
2019-972217,2019-02-05,000001,Vente en l'état futur d'achèvement,272000,,,LES AVORAUX,B001,69250,69003,Albigny-sur-Saône,69,,,69003000AM0091,,,85,,,,,,,,,,1,3,Dépendance,,0,,,,,,4.830194,45.871995
2019-972217,2019-02-05,000001,Vente en l'état futur d'achèvement,272000,,,LES AVORAUX,B001,69250,69003,Albigny-sur-Saône,69,,,69003000AM0091,,,44,,,,,,,,,,1,3,Dépendance,,0,,,,,,4.830194,45.871995
2019-972217,2019-02-05,000001,Vente en l'état futur d'achèvement,272000,,,LES AVORAUX,B001,69250,69003,Albigny-sur-Saône,69,,,69003000AM0091,,,15,,,,,,,,,,1,2,Appartement,61,3,,,,,,4.830194,45.871995
2019-972232,2019-01-31,000001,Vente,284450,1,,QUAI GENERAL DE GAULLE,0127,69250,69003,Albigny-sur-Saône,69,,,69003000AA0083,,,,,,,,,,,,,0,1,Maison,109,5,AG,terrains d'agrément,PARC,Parc,748,4.834899,45.876189
2019-972232,2019-01-31,000001,Vente,284450,1,,QUAI GENERAL DE GAULLE,0127,69250,69003,Albigny-sur-Saône,69,,,69003000AA0083,,,,,,,,,,,,,0,1,Maison,109,5,S,sols,,,296,4.834899,45.876189
2019-972329,2019-02-12,000001,Vente en l'état futur d'achèvement,240000,,,LES AVORAUX,B001,69250,69003,Albigny-sur-Saône,69,,,69003000AM0091,,,76,,,,,,,,,,1,3,Dépendance,,0,,,,,,4.830194,45.871995
