# CSV-File created with merge-csv.com
# -----------------------------------------------------------

id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2020-697440,2020-01-27,000001,Vente,49000,,,LE BOURG,B002,69170,69001,Affoux,69,,,690010000E0395,,,,,,,,,,,,,0,,,,,J,jardins,,,1388,4.404722,45.845216
2020-697539,2020-01-17,000001,Vente,291400,5051,,CHEZ MANDERON,B006,69170,69001,Affoux,69,,,690010000B0218,,,,,,,,,,,,,0,1,Maison,155,5,S,sols,,,970,4.432751,45.834298
2020-697539,2020-01-17,000001,Vente,291400,,,CHEZ MANDERON,B006,69170,69001,Affoux,69,,,690010000B0219,,,,,,,,,,,,,0,,,,,P,prés,,,1830,4.432379,45.833758
2020-697539,2020-01-17,000001,Vente,291400,,,CHEZ MANDERON,B006,69170,69001,Affoux,69,,,690010000B0220,,,,,,,,,,,,,0,,,,,E,eaux,,,710,4.432327,45.833881
2020-697539,2020-01-17,000001,Vente,291400,,,CHEZ MANDERON,B006,69170,69001,Affoux,69,,,690010000B0221,,,,,,,,,,,,,0,,,,,P,prés,,,2770,4.432214,45.83392
2020-697794,2020-01-31,000001,Vente,267400,2921,,RTE DU MONTMETERME,0135,69170,69001,Affoux,69,,,690010000A0374,,,,,,,,,,,,,0,1,Maison,94,4,S,sols,,,500,4.426055,45.846218
2020-697794,2020-01-31,000001,Vente,267400,2921,,RTE DU MONTMETERME,0135,69170,69001,Affoux,69,,,690010000A0374,,,,,,,,,,,,,0,1,Maison,94,4,J,jardins,,,1093,4.426055,45.846218
2020-698846,2020-06-12,000001,Vente,135000,92,,IMP DE ROCHEFORT,0170,69170,69001,Affoux,69,,,690010000B0435,,,,,,,,,,,,,0,1,Maison,107,4,J,jardins,,,1807,4.419136,45.832225
2020-698846,2020-06-12,000001,Vente,135000,92,,IMP DE ROCHEFORT,0170,69170,69001,Affoux,69,,,690010000B0435,,,,,,,,,,,,,0,1,Maison,107,4,S,sols,,,500,4.419136,45.832225
2020-698959,2020-06-19,000001,Vente,84000,,,CREPIT,B008,69170,69001,Affoux,69,,,690010000E0358,,,,,,,,,,,,,0,,,,,T,terres,,,5216,4.409274,45.844238
2020-698959,2020-06-19,000001,Vente,84000,,,CREPIT,B008,69170,69001,Affoux,69,,,690010000E0360,,,,,,,,,,,,,0,,,,,P,prés,,,5964,4.408323,45.844502
2020-699049,2020-06-20,000001,Vente,277400,1337,,RTE DU GUILLIN,0104,69170,69001,Affoux,69,,,690010000B0310,,,,,,,,,,,,,0,1,Maison,164,6,S,sols,,,1034,4.432826,45.836995
2020-699327,2020-07-31,000001,Vente,75000,,,LA COLLONGE,B007,69170,69001,Affoux,69,,,690010000B0557,,,,,,,,,,,,,0,,,,,T,terres,,,1500,4.419568,45.835381
2020-700139,2020-11-12,000001,Vente,1300,,,CHEZ MANDERON,B006,69170,69001,Affoux,69,,,690010000B0103,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,1370,4.425604,45.840149
2020-697605,2020-02-07,000001,Vente,141425,5068,,LA FEUILLEE,B022,69790,69002,Aigueperse,69,,,690020000D0080,,,,,,,,,,,,,0,1,Maison,180,6,S,sols,,,260,4.409605,46.273507
2020-697605,2020-02-07,000001,Vente,141425,,,LA FEUILLEE,B022,69790,69002,Aigueperse,69,,,690020000D0083,,,,,,,,,,,,,0,,,,,J,jardins,,,142,4.409771,46.273355
2020-697605,2020-02-07,000001,Vente,141425,,,LA FEUILLEE,B022,69790,69002,Aigueperse,69,,,690020000D0290,,,,,,,,,,,,,0,,,,,P,prés,,,3426,4.409901,46.273557
2020-697605,2020-02-07,000001,Vente,141425,,,LA FEUILLEE,B022,69790,69002,Aigueperse,69,,,690020000D0291,,,,,,,,,,,,,0,,,,,J,jardins,,,227,4.409522,46.273426
2020-698800,2020-05-28,000003,Vente,1500,,,CHANTE ALOUETTE,B012,69790,69002,Aigueperse,69,,,69002000AH0280,,,,,,,,,,,,,0,,,,,P,prés,,,220,4.4132,46.284876
2020-698800,2020-05-28,000003,Vente,1500,,,CHANTE ALOUETTE,B012,69790,69002,Aigueperse,69,,,69002000AH0284,,,,,,,,,,,,,0,,,,,P,prés,,,275,4.412857,46.284394
2020-698844,2020-06-16,000001,Vente,1200,,,VAVRE,B052,69790,69002,Aigueperse,69,,,690020000D0227,,,,,,,,,,,,,0,,,,,BR,futaies résineuses,,,8310,4.408615,46.268913
2020-675567,2020-01-03,000001,Vente,314500,6,,AV DE LA GARE,0120,69250,69003,Albigny-sur-Saône,69,,,69003000AA0072,,,1006,108.84,,,,,,,,,1,2,Appartement,109,4,,,,,,4.83423,45.876611
2020-675839,2020-01-31,000001,Vente,240000,,,LE BOURG,B005,69250,69003,Albigny-sur-Saône,69,,,69003000AK0300,,,,,,,,,,,,,0,,,,,T,terres,,,631,4.827747,45.865514
2020-676128,2020-01-30,000001,Vente,240000,3,,QUAI GENERAL DE GAULLE,0127,69250,69003,Albigny-sur-Saône,69,,,69003000AA0226,,,,,,,,,,,,,0,2,Appartement,50,2,AB,terrains a bâtir,,,588,4.834886,45.875797
