id_mutation,date_mutation,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,lot1_surface_carrez,surface_reelle_bati,nombre_pieces_principales,surface_terrain,longitude,latitude
2016-852417,2016-02-29,Vente,108000.0,5006.0,,RUE PRINCIPALE,0035,69170.0,69001,Affoux,69,,90.0,3.0,30.0,4.40315,45.844929
2016-852417,2016-02-29,Vente,108000.0,,,LE BOURG,B002,69170.0,69001,Affoux,69,,,,25.0,4.403139,45.844898
2016-852417,2016-02-29,Vente,108000.0,,,LE BOURG,B002,69170.0,69001,Affoux,69,,,,9.0,4.403313,45.844813
2016-852417,2016-02-29,Vente,108000.0,5005.0,,LE BOURG,B002,69170.0,69001,Affoux,69,,,0.0,31.0,4.403297,45.84484
2016-852512,2016-03-24,Vente,66000.0,,,CREPIT,B008,69170.0,69001,Affoux,69,,,,1527.0,4.416579,45.836684
2016-854033,2016-08-03,Vente,237000.0,,,LES PLACES,B019,69170.0,69001,Affoux,69,,,,22.0,4.404439,45.840356
2016-854033,2016-08-03,Vente,237000.0,5075.0,,LES PLACES,B019,69170.0,69001,Affoux,69,,150.0,5.0,730.0,4.404238,45.840294
2016-854033,2016-08-03,Vente,237000.0,,,LES PLACES,B019,69170.0,69001,Affoux,69,,,,143.0,4.404384,45.840257
2016-854033,2016-08-03,Vente,237000.0,,,LES PLACES,B019,69170.0,69001,Affoux,69,,,,186.0,4.404277,45.840154
2016-854130,2016-07-28,Vente,220000.0,5142.0,,LE BOURG,B002,69170.0,69001,Affoux,69,,112.0,4.0,900.0,4.406908,45.844255
2016-854130,2016-07-28,Vente,220000.0,,,LE BOURG,B002,69170.0,69001,Affoux,69,,,,185.0,4.406733,45.844462
2016-854165,2016-07-29,Vente,127400.0,5007.0,,RUE DES EPARS,0012,69170.0,69001,Affoux,69,,73.0,2.0,335.0,4.402627,45.845018
2016-854609,2016-09-08,Vente,43000.0,,,CHEZ MANDERON,B006,69170.0,69001,Affoux,69,,,,1500.0,4.434151,45.837105
2016-854609,2016-09-08,Vente,43000.0,,,CHEZ MANDERON,B006,69170.0,69001,Affoux,69,,,,110.0,4.434225,45.837303
