id_mutation,date_mutation,nature_mutation,price,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,nom_commune,code_departement,lot1_surface_carrez,surface_reelle_bati,type_local,nombre_pieces_principales,surface_terrain,longitude,latitude
2020-675566,2020-01-02,Vente,385000.0,2,,RUE CASIMIR PERIER,1290,69002,Lyon 2e Arrondissement,69,,,Dépendance,0,0.0,4.81689,45.74398
2020-675566,2020-01-02,Vente,385000.0,2,T,RUE CASIMIR PERIER,1290,69002,Lyon 2e Arrondissement,69,73.9,73.0,Appartement,3,0.0,4.81689,45.74398
2020-675575,2020-01-07,Vente,261470.0,30,,RUE PALAIS GRILLET,5185,69002,Lyon 2e Arrondissement,69,29.02,31.0,Appartement,1,0.0,4.83514,45.76199
2020-675576,2020-01-06,Vente,563065.0,31,B,RUE ALBERT CHALINEL,0113,69009,Lyon 9e Arrondissement,69,,109.0,Maison,6,347.0,4.82488,45.80106
2020-675577,2020-01-06,Vente,285000.0,21,,BD DES CASTORS,1295,69005,Lyon 5e Arrondissement,69,,85.0,Appartement,4,0.0,4.80893,45.75306
2020-675577,2020-01-06,Vente,285000.0,21,,BD DES CASTORS,1295,69005,Lyon 5e Arrondissement,69,,,Dépendance,0,0.0,4.80893,45.75306
2020-675578,2020-01-07,Vente,161760.0,10,,AV DE MENIVAL,4720,69005,Lyon 5e Arrondissement,69,,69.0,Appartement,4,0.0,4.78605,45.75745
2020-675582,2020-01-06,Vente,300000.0,49,,RUE EUGENE PONS,2620,69004,Lyon 4e Arrondissement,69,51.01,52.0,Appartement,2,0.0,4.8385,45.78123
2020-675584,2020-01-13,Vente,127350.0,1,B,RUE DE LA LOGE,4265,69005,Lyon 5e Arrondissement,69,23.59,23.0,Appartement,2,0.0,4.82745,45.76447
2020-675586,2020-01-06,Vente,286000.0,14,,RUE DUVIARD,2435,69004,Lyon 4e Arrondissement,69,,56.0,Appartement,2,0.0,4.82824,45.7753
2020-675587,2020-01-09,Vente,141600.0,0,,RUE VICTOR MUHLSTEIN,7323,69009,Lyon 9e Arrondissement,69,,,Dépendance,0,0.0,4.79384,45.78767
2020-675587,2020-01-09,Vente,141600.0,1,,RUE ARTHUR RIMBAUD,0485,69009,Lyon 9e Arrondissement,69,44.06,44.0,Appartement,2,0.0,4.79384,45.78767
2020-675588,2020-01-06,Vente,1800000.0,9001,,IMP FERNAND REY,2709,69001,Lyon 1er Arrondissement,69,,,,0,293.0,4.82874,45.76945
2020-675588,2020-01-06,Vente,1800000.0,26,,RUE DE L ANNONCIADE,0295,69001,Lyon 1er Arrondissement,69,,120.0,Appartement,3,300.0,4.82873,45.76958
2020-675588,2020-01-06,Vente,1800000.0,26,,RUE DE L ANNONCIADE,0295,69001,Lyon 1er Arrondissement,69,,120.0,Appartement,4,300.0,4.82873,45.76958
2020-675588,2020-01-06,Vente,1800000.0,26,,RUE DE L ANNONCIADE,0295,69001,Lyon 1er Arrondissement,69,,76.0,Appartement,3,300.0,4.82873,45.76958
2020-675588,2020-01-06,Vente,1800000.0,26,,RUE DE L ANNONCIADE,0295,69001,Lyon 1er Arrondissement,69,,76.0,Appartement,3,300.0,4.82873,45.76958
2020-675588,2020-01-06,Vente,1800000.0,26,,RUE DE L ANNONCIADE,0295,69001,Lyon 1er Arrondissement,69,,39.0,Appartement,2,300.0,4.82873,45.76958
2020-675588,2020-01-06,Vente,1800000.0,26,,RUE DE L ANNONCIADE,0295,69001,Lyon 1er Arrondissement,69,,119.0,Appartement,4,300.0,4.82873,45.76958
2020-675588,2020-01-06,Vente,1800000.0,26,,RUE DE L ANNONCIADE,0295,69001,Lyon 1er Arrondissement,69,,119.0,Appartement,3,300.0,4.82873,45.76958
2020-675588,2020-01-06,Vente,1800000.0,26,,RUE DE L ANNONCIADE,0295,69001,Lyon 1er Arrondissement,69,,,Dépendance,0,300.0,4.82873,45.76958
2020-675588,2020-01-06,Vente,1800000.0,26,,RUE DE L ANNONCIADE,0295,69001,Lyon 1er Arrondissement,69,,64.0,Local industriel. commercial ou assimilé,0,300.0,4.82873,45.76958
2020-675588,2020-01-06,Vente,1800000.0,26,,RUE DE L ANNONCIADE,0295,69001,Lyon 1er Arrondissement,69,,76.0,Appartement,2,300.0,4.82873,45.76958
2020-675588,2020-01-06,Vente,1800000.0,26,,RUE DE L ANNONCIADE,0295,69001,Lyon 1er Arrondissement,69,,42.0,Local industriel. commercial ou assimilé,0,300.0,4.82873,45.76958
2020-675588,2020-01-06,Vente,1800000.0,26,,RUE DE L ANNONCIADE,0295,69001,Lyon 1er Arrondissement,69,,100.0,Local industriel. commercial ou assimilé,0,300.0,4.82873,45.76958
2020-675588,2020-01-06,Vente,1800000.0,26,,RUE DE L ANNONCIADE,0295,69001,Lyon 1er Arrondissement,69,,76.0,Appartement,2,300.0,4.82873,45.76958
2020-675588,2020-01-06,Vente,1800000.0,26,,RUE DE L ANNONCIADE,0295,69001,Lyon 1er Arrondissement,69,,76.0,Appartement,2,300.0,4.82873,45.76958
2020-675588,2020-01-06,Vente,1800000.0,26,,RUE DE L ANNONCIADE,0295,69001,Lyon 1er Arrondissement,69,,120.0,Appartement,3,300.0,4.82873,45.76958
2020-675588,2020-01-06,Vente,1800000.0,26,,RUE DE L ANNONCIADE,0295,69001,Lyon 1er Arrondissement,69,,120.0,Appartement,5,300.0,4.82873,45.76958
2020-675588,2020-01-06,Vente,1800000.0,26,,RUE DE L ANNONCIADE,0295,69001,Lyon 1er Arrondissement,69,,76.0,Appartement,2,300.0,4.82873,45.76958
2020-675590,2020-01-03,Vente,450740.0,57,,CHE DE CHOULANS,1650,69005,Lyon 5e Arrondissement,69,,,Dépendance,0,0.0,4.81848,45.754
2020-675590,2020-01-03,Vente,450740.0,57,,CHE DE CHOULANS,1650,69005,Lyon 5e Arrondissement,69,,,Dépendance,0,0.0,4.81848,45.754
2020-675590,2020-01-03,Vente,450740.0,57,,CHE DE CHOULANS,1650,69005,Lyon 5e Arrondissement,69,98.02,99.0,Appartement,4,0.0,4.81848,45.754
2020-675593,2020-01-06,Vente,173000.0,5,,RUE DU PLAT,5585,69002,Lyon 2e Arrondissement,69,33.69,182.0,Local industriel. commercial ou assimilé,0,0.0,4.82994,45.75846
2020-675593,2020-01-06,Vente,173000.0,5,,RUE DU PLAT,5585,69002,Lyon 2e Arrondissement,69,33.69,69.0,Local industriel. commercial ou assimilé,0,0.0,4.82994,45.75846
2020-675595,2020-01-08,Vente,120000.0,7,,IMP DU BON PASTEUR,0975,69001,Lyon 1er Arrondissement,69,,41.0,Appartement,1,0.0,4.83053,45.77274
2020-675595,2020-01-08,Vente,120000.0,7,,IMP DU BON PASTEUR,0975,69001,Lyon 1er Arrondissement,69,,,Dépendance,0,0.0,4.83053,45.77274
