latitude,longitude,airbnbValue,cadastreValue,ratio
45.75179,4.845472,3798,260837,0.014560818
45.775623,4.82552,5894,302291,0.019497769
45.753372,4.779832,7431,188696,0.039380804
45.77728,4.8052244,0,96070,0.0
45.72577,4.82712,10320,300766,0.03431239
45.733795,4.878466,0,107450,0.0
45.753963,4.8691764,2216,209700,0.010567477
45.76763,4.8450985,7420,468730,0.015830008
45.762993,4.834682,2567,196750,0.013047014
45.74254,4.868091,4711,422750,0.011143702
45.769238,4.856455,7177,419983,0.017088788
45.76226,4.8274555,12248,202415,0.06050935
45.764854,4.868761,8466,79000,0.107164554
45.75494,4.80488,3522,199400,0.017662989
45.767773,4.83717,8006,178083,0.044956565
45.753914,4.831156,6547,183500,0.035678472
45.750553,4.828706,11067,695000,0.01592374
45.79167,4.8173566,18094,146837,0.12322507
45.767147,4.8108454,4114,222528,0.018487561
45.749237,4.8575034,12130,213575,0.05679504
45.751648,4.83936,3574,540000,0.0066185184
45.75146,4.843184,144,280900,5.1263795E-4
45.759167,4.8654633,6426,335700,0.019142091
45.766243,4.8182955,6850,287137,0.023856208
45.74426,4.8349867,1738,490000,0.0035469388
45.7524,4.7851386,2348,182100,0.012894014
45.73704,4.85184,4274,173287,0.024664285
45.76852,4.8346767,5856,221740,0.026409307
45.748272,4.877368,0,221763,0.0
45.770058,4.8309593,1049,222333,0.004718148
45.798157,4.83359,2609,315950,0.008257636
45.76311,4.8278823,10320,256121,0.040293455
45.732677,4.829448,2198,174007,0.012631676
45.75529,4.8522873,4588,230000,0.019947827
45.752987,4.7977834,17815,217900,0.08175769
45.75741,4.875319,6736,292536,0.023026226
45.776955,4.8223677,742,272475,0.0027231856
45.741627,4.859326,2196,160000,0.013725
45.74597,4.8506236,10525,302900,0.03474744
45.75137,4.8838534,4542,214000,0.0212243
45.74647,4.8418307,8,246543,3.24487E-5
45.7968,4.8195624,0,285625,0.0
45.754005,4.8420434,3097,208750,0.014835929
45.767105,4.8246083,5744,447258,0.012842699
45.773067,4.848985,3986,455175,0.008757072
45.753876,4.8230877,13152,221060,0.05949516
45.769455,4.8514094,9218,200666,0.04593703
45.752777,4.848166,3748,492342,0.0076125944
45.734306,4.8368144,6692,113450,0.058986336
45.75689,4.8426127,3510,272566,0.012877615
45.779785,4.8404484,5751,991655,0.005799396
45.755524,4.8736,0,191833,0.0
45.741585,4.8549166,16588,115987,0.14301603
45.764515,4.864713,22018,412000,0.053441748
45.764828,4.8375654,0,263055,0.0
45.762424,4.848332,4033,160000,0.02520625
45.743225,4.8223557,3184,226267,0.014071871
45.74511,4.845894,48,298800,1.6064256E-4
45.730793,4.863298,19759,174900,0.112973124
45.775547,4.80733,3024,249150,0.012137267
45.759243,4.8248954,2403,210728,0.011403326
