latitude,longitude,airbnbValue,cadastreValue,ratio
45,4,237587,237587,1.0
45,4,206105,206105,1.0
45,4,331016,331016,1.0
45,4,248703,248703,1.0
45,4,372153,372153,1.0
45,4,241570,241570,1.0
45,4,228283,228283,1.0
45,4,340986,340986,1.0
45,4,309655,309655,1.0
45,4,226419,226419,1.0
45,4,179691,179691,1.0
45,4,346109,346109,1.0
45,4,306471,306471,1.0
45,4,193113,193113,1.0
45,4,291682,291682,1.0
45,4,346828,346828,1.0
45,4,418980,418980,1.0
45,4,352118,352118,1.0
45,4,330010,330010,1.0
45,4,287523,287523,1.0
45,4,223342,223342,1.0
45,4,241852,241852,1.0
45,4,207039,207039,1.0
45,4,275638,275638,1.0
45,4,303341,303341,1.0
45,4,200921,200921,1.0
45,4,424474,424474,1.0
45,4,254067,254067,1.0
45,4,241910,241910,1.0
45,4,206472,206472,1.0
45,4,215160,215160,1.0
45,4,176974,176974,1.0
45,4,421249,421249,1.0
45,4,309730,309730,1.0
45,4,144844,144844,1.0
45,4,243402,243402,1.0
45,4,296304,296304,1.0
45,4,246694,246694,1.0
45,4,339812,339812,1.0
45,4,263900,263900,1.0
45,4,238951,238951,1.0
45,4,234465,234465,1.0
45,4,600830,600830,1.0
45,4,198095,198095,1.0
45,4,254985,254985,1.0
45,4,231725,231725,1.0
45,4,220541,220541,1.0
45,4,260482,260482,1.0
45,4,230169,230169,1.0
45,4,257711,257711,1.0
